key,peak_1,peak_2,peak_3
s,125.0,120.0,115.0
l,221.0,216.0,197.0
e,254.0,202.0,197.0
c,216.0,211.0,144.0
Space,106.0,96.0,91.0
a,221.0,192.0,178.0
Enter,192.0,134.0,130.0
Backspace,182.0,178.0,168.0
e,274.0,240.0,197.0
u,418.0,211.0,206.0
i,269.0,216.0,187.0
n,989.0,974.0,955.0
g,1382.0,902.0,216.0
b,274.0,254.0,240.0
w,317.0,245.0,230.0
e,926.0,235.0,221.0
c,413.0,384.0,259.0
o,403.0,158.0,134.0
x,1080.0,269.0,168.0
l,1080.0,763.0,269.0
w,1550.0,1541.0,936.0
e,586.0,250.0,221.0
\,298.0,221.0,211.0
Tab,278.0,158.0,144.0
e,293.0,216.0,192.0
i,653.0,336.0,331.0
Space,317.0,278.0,245.0
c,254.0,240.0,130.0
n,298.0,283.0,269.0
w,187.0,173.0,163.0
q,269.0,259.0,230.0
o,374.0,274.0,235.0
c,1022.0,288.0,230.0
v,254.0,240.0,230.0
m,288.0,187.0,178.0
d,1382.0,259.0,250.0
k,230.0,158.0,149.0
w,427.0,250.0,226.0
e,384.0,288.0,182.0
o,994.0,475.0,216.0
x,946.0,288.0,259.0
e,398.0,288.0,154.0
j,158.0,154.0,139.0
i,120.0,115.0,110.0
m,221.0,197.0,182.0
Space,250.0,178.0,144.0
n,278.0,254.0,250.0
Backspace,298.0,278.0,144.0
l,264.0,240.0,230.0
l,312.0,250.0,178.0
w,379.0,293.0,264.0
Enter,840.0,451.0,235.0
j,4757.0,154.0,139.0
i,326.0,312.0,226.0
e,274.0,230.0,211.0
j,1416.0,139.0,120.0
e,211.0,134.0,120.0
y,134.0,125.0,110.0
u,278.0,274.0,197.0
Space,211.0,134.0,106.0
s,206.0,182.0,130.0
l,130.0,106.0,86.0
e,250.0,187.0,182.0
w,230.0,211.0,192.0
u,269.0,226.0,221.0
n,307.0,235.0,226.0
s,259.0,163.0,158.0
e,5611.0,1411.0,115.0
k,182.0,101.0,96.0
j,149.0,120.0,115.0
s,144.0,139.0,134.0
d,144.0,115.0,110.0
f,168.0,115.0,110.0
j,149.0,120.0,110.0
e,250.0,235.0,211.0
l,298.0,269.0,235.0
s,240.0,221.0,101.0
l,221.0,211.0,192.0
j,302.0,278.0,115.0
v,206.0,192.0,139.0
s,336.0,312.0,178.0
e,230.0,211.0,192.0
i,240.0,211.0,192.0
Space,254.0,144.0,110.0
Space,110.0,106.0,101.0
a,514.0,480.0,125.0
a,1008.0,974.0,110.0
Space,1109.0,288.0,274.0
a,202.0,130.0,115.0
Space,1133.0,264.0,216.0
e,115.0,101.0,86.0
Backspace,110.0,91.0,86.0
a,1118.0,115.0,91.0
Space,1128.0,173.0,168.0
a,461.0,120.0,115.0
Backspace,120.0,115.0,110.0
Space,1003.0,984.0,226.0
Space,1128.0,1104.0,115.0
Backspace,475.0,101.0,72.0
Backspace,115.0,110.0,86.0
Backspace,720.0,101.0,96.0
Backspace,326.0,115.0,77.0
Backspace,110.0,96.0,82.0
Backspace,792.0,744.0,96.0
Backspace,144.0,115.0,110.0
